UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Temperature Difference [K],Power,Power [W],Type_LabelEncoded,Cluster
1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,10.5,66382.79999999999,6951.5905601573495,2,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure,10.5,65190.399999999994,6826.722724152667,1,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure,10.399999999999977,74001.2,7749.387542560966,1,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure,10.400000000000034,56603.5,5927.504658915662,1,5
5,L47184,L,298.2,308.7,1408,40.0,9,0,No Failure,10.5,56320.0,5897.816608339238,1,5
6,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure,10.5,59707.5,6252.554778807085,2,0
7,L47186,L,298.1,308.6,1558,42.4,14,0,No Failure,10.5,66059.2,6917.703247400628,1,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure,10.5,61385.4,6428.264055922363,1,5
9,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure,10.399999999999977,47676.200000000004,4992.6399890359235,2,5
10,M14869,M,298.5,309.0,1741,28.0,21,0,No Failure,10.5,48748.0,5104.878622573175,2,5
11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure,10.5,42589.799999999996,4459.993426595285,0,5
12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure,10.5,63038.899999999994,6601.4181710127195,0,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure,10.5,68422.90000000001,7165.229332576969,2,0
14,M14873,M,298.6,309.2,1742,30.0,37,0,No Failure,10.599999999999966,52260.0,5472.6544025534195,2,5
16,L47195,L,298.6,309.2,1542,48.4,42,0,No Failure,10.599999999999966,74632.8,7815.528539894543,1,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,No Failure,10.599999999999966,61092.6,6397.602111623326,2,0
18,M14877,M,298.7,309.2,1410,45.6,47,0,No Failure,10.5,64296.0,6733.061375173645,2,0
19,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure,10.399999999999977,71177.0,7453.6380101520235,0,0
20,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure,10.400000000000034,53040.0,5554.335811546754,2,5
21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure,10.400000000000034,58712.50000000001,6148.358622463024,0,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure,10.5,64959.99999999999,6802.595292573098,1,0
23,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure,10.400000000000034,48536.7,5082.75133831639,2,5
24,L47203,L,299.0,309.4,1758,25.7,68,0,No Failure,10.399999999999977,45180.6,4731.3013681593,1,5
25,M14884,M,299.0,309.4,1561,37.3,70,0,No Failure,10.399999999999977,58225.299999999996,6097.339157768725,2,5
26,L47205,L,299.0,309.5,1861,23.3,73,0,No Failure,10.5,43361.3,4540.784717670103,1,5
27,L47206,L,299.1,309.5,1512,39.0,75,0,No Failure,10.399999999999977,58968.0,6175.114519896097,1,5
28,H29441,H,299.1,309.4,1811,24.6,77,0,No Failure,10.299999999999955,44550.600000000006,4665.327922433915,0,5
29,L47208,L,299.1,309.4,1439,44.2,82,0,No Failure,10.299999999999955,63603.8,6660.574360679816,1,0
30,L47209,L,299.0,309.4,1693,30.1,84,0,No Failure,10.399999999999977,50959.3,5336.445417069278,1,5
31,M14890,M,299.1,309.5,1339,48.2,86,0,No Failure,10.399999999999977,64539.8,6758.592051471817,2,0
32,L47211,L,299.0,309.4,1798,25.5,89,0,No Failure,10.399999999999977,45849.0,4801.296052481281,1,5
33,L47212,L,299.0,309.4,1419,48.3,91,0,No Failure,10.399999999999977,68537.7,7177.251160464705,1,0
34,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure,10.400000000000034,54112.5,5666.647748912589,1,5
35,M14894,M,298.8,309.1,1559,34.7,95,0,No Failure,10.300000000000011,54097.3,5665.0560086347705,2,5
36,M14895,M,298.8,309.2,1452,48.6,98,0,No Failure,10.399999999999977,70567.2,7389.779903480055,2,0
37,M14896,M,298.9,309.2,1581,36.7,101,0,No Failure,10.300000000000011,58022.700000000004,6076.122935381483,2,5
38,L47217,L,298.8,309.1,1439,39.2,104,0,No Failure,10.300000000000011,56408.8,5907.115722593864,1,3
39,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure,10.300000000000011,69915.3,7321.513095117549,0,6
40,L47219,L,298.8,309.1,1350,52.5,111,0,No Failure,10.300000000000011,70875.0,7422.012644105886,1,6
41,L47220,L,298.8,309.1,1362,45.4,113,0,No Failure,10.300000000000011,61834.799999999996,6475.3251138731375,1,6
42,L47221,L,298.8,309.1,1368,50.8,115,0,No Failure,10.300000000000011,69494.4,7277.436550187683,1,6
43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure,10.300000000000011,67168.8,7033.900287681403,2,6
44,H29457,H,298.8,309.2,1372,48.5,120,0,No Failure,10.399999999999977,66542.0,6968.2619451724,0,6
45,M14904,M,298.8,309.1,1472,47.5,125,0,No Failure,10.300000000000011,69920.0,7322.005277966611,2,6
46,L47225,L,298.8,309.1,1489,49.1,128,0,No Failure,10.300000000000011,73109.90000000001,7656.050824822814,1,6
47,M14906,M,298.7,309.0,1843,25.8,130,0,No Failure,10.300000000000011,47549.4,4979.36152408675,2,3
48,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure,10.300000000000011,65653.4,6875.20797077307,1,6
49,H29462,H,298.8,309.2,1425,53.9,135,0,No Failure,10.399999999999977,76807.5,8043.262591353267,0,6
50,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,10.300000000000011,62269.200000000004,6520.815375497118,2,6
52,L47231,L,298.9,309.1,1383,54.9,145,0,No Failure,10.200000000000045,75926.7,7951.02543104387,1,6
53,H29466,H,298.8,309.0,1497,43.8,147,0,No Failure,10.199999999999989,65568.59999999999,6866.327735538923,0,6
54,L47233,L,298.7,309.0,1565,35.1,152,0,No Failure,10.300000000000011,54931.5,5752.41322835559,1,3
55,L47234,L,298.7,309.0,1691,30.1,154,0,No Failure,10.300000000000011,50899.100000000006,5330.141287811075,1,3
56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure,10.300000000000011,61538.4,6444.286178455671,1,3
57,L47236,L,298.8,309.1,1477,42.4,158,0,No Failure,10.300000000000011,62624.799999999996,6558.053720417668,1,6
58,L47237,L,298.8,309.1,1513,40.3,160,0,No Failure,10.300000000000011,60973.899999999994,6385.171876690622,1,3
59,M14918,M,298.8,309.0,1661,29.5,162,0,No Failure,10.199999999999989,48999.5,5131.215640985769,2,3
60,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,10.300000000000011,74963.2,7850.127946986078,1,6
61,L47240,L,298.8,309.1,1393,52.6,167,0,No Failure,10.300000000000011,73271.8,7673.004953176687,1,6
62,M14921,M,298.8,309.0,1592,38.2,169,0,No Failure,10.199999999999989,60814.4,6368.469075749037,2,3
63,L47242,L,298.8,309.0,1829,22.9,172,0,No Failure,10.199999999999989,41884.1,4386.092695407341,1,3
64,M14923,M,298.9,309.0,1812,25.9,174,0,No Failure,10.100000000000023,46930.799999999996,4914.581883569728,2,3
65,L47244,L,299.0,309.1,1523,38.6,177,0,No Failure,10.100000000000023,58787.8,6156.244020023535,1,3
66,L47245,L,299.0,309.1,1394,45.1,179,0,No Failure,10.100000000000023,62869.4,6583.668172519938,1,6
67,M14926,M,298.9,308.9,1679,28.7,181,0,No Failure,10.0,48187.299999999996,5046.162255877581,2,3
68,H29481,H,298.8,308.9,1466,44.1,184,0,No Failure,10.099999999999966,64650.6,6770.195000339076,0,6
69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,10.099999999999966,49474.799999999996,5180.988940594142,1,3
70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,10.100000000000023,92637.0,9700.923955019922,1,6
72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,10.200000000000045,66066.0,6918.415341735442,1,6
73,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure,10.200000000000045,60783.6,6365.243707291351,1,6
74,L47253,L,299.0,309.1,1592,35.0,200,0,No Failure,10.100000000000023,55720.0,5834.984755267442,1,3
75,L47254,L,298.9,309.0,1601,32.3,202,0,No Failure,10.100000000000023,51712.299999999996,5415.299392674381,1,3
76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,10.099999999999966,64399.3,6743.878925877505,1,6
77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,10.099999999999966,69981.9,7328.487430808517,1,6
78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,10.099999999999966,60091.49999999999,6292.767164773034,1,3
79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure,10.099999999999966,71997.0,7539.508209350144,1,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure,10.099999999999966,53135.799999999996,5564.367964087217,1,5
81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure,10.0,72105.5,7550.870302780627,0,0
82,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure,10.0,68875.0,7212.573133866566,1,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure,10.0,59282.399999999994,6208.038410905718,1,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,No Failure,10.0,58906.9,6168.716142858286,1,5
85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure,10.0,67687.2,7088.187008735435,1,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,No Failure,10.0,48347.200000000004,5062.906944721215,2,5
87,H29500,H,299.0,309.0,1436,43.9,20,0,No Failure,10.0,63040.4,6601.5752506454,0,0
88,L47267,L,299.0,309.0,1544,31.8,25,0,No Failure,10.0,49099.200000000004,5141.656200571199,1,5
89,M14948,M,299.0,309.0,1419,45.2,27,0,No Failure,10.0,64138.8,6716.599429668834,2,0
90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure,10.0,58736.5,6150.871896585896,2,5
91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure,10.0,45227.4,4736.2022526989,1,5
92,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure,10.0,45567.0,4771.765081537536,1,5
93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure,10.0,46801.700000000004,4901.062563183781,2,5
94,L47273,L,299.1,309.0,1450,43.0,40,0,No Failure,9.899999999999977,62350.0,6529.276731710786,1,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,No Failure,9.899999999999977,51741.799999999996,5418.388625450411,1,5
96,M14955,M,299.0,309.0,1351,52.2,44,0,No Failure,10.0,70522.2,7385.067514499669,2,0
97,M14956,M,299.0,309.0,1575,35.3,47,0,No Failure,10.0,55597.49999999999,5822.156585265283,2,5
98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure,10.0,52325.0,5479.461186636197,2,5
99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure,9.900000000000034,49998.3,5235.809732399285,1,5
